ZIP CODE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED
10460,1.0,0.0,0,0,0,0
10032,2.0,0.0,0,0,1,0
11101,2.0,0.0,1,0,0,0
11238,10.0,0.0,0,0,10,0
11203,7.0,0.0,0,0,7,0
10040,1.0,0.0,0,0,0,0
11226,1.0,0.0,0,0,0,0
10037,2.0,0.0,1,0,0,0
10128,1.0,0.0,1,0,0,0
11225,1.0,0.0,1,0,0,0
10029,2.0,0.0,1,0,1,0
11217,2.0,0.0,0,0,2,0
10474,5.0,0.0,0,0,5,0
10451,2.0,0.0,0,0,0,0
10009,3.0,0.0,0,0,1,0
10466,5.0,0.0,0,0,5,0
11236,3.0,0.0,1,0,0,0
10453,3.0,0.0,0,0,1,0
11104,3.0,0.0,0,0,0,0
11355,7.0,0.0,0,0,7,0
10004,3.0,1.0,0,0,1,0
11426,3.0,0.0,0,0,3,0
11226,2.0,0.0,0,0,1,0
10152,0.0,0.0,0,0,0,0
11429,7.0,0.0,0,0,7,0
11372,2.0,0.0,1,0,1,0
11361,2.0,0.0,0,0,0,0
10006,0.0,0.0,0,0,0,0
10314,2.0,0.0,0,0,1,0
10016,4.0,0.0,0,0,3,0
10473,2.0,0.0,0,0,0,0
11221,2.0,0.0,1,0,1,0
11416,5.0,0.0,0,0,5,0
11430,2.0,0.0,0,0,2,0
10452,6.0,0.0,0,0,6,0
11211,0.0,1.0,0,1,0,0
11417,1.0,0.0,1,0,0,0
11212,5.0,0.0,0,0,4,0
11204,8.0,0.0,0,0,8,0
10457,2.0,0.0,1,0,0,0
11211,3.0,0.0,1,0,2,0
11422,6.0,0.0,0,0,4,0
10027,5.0,0.0,0,0,5,0
11218,1.0,1.0,0,0,1,1
